ocel_id;ocel_time;rain condition
enter_tr7_Pcp168;2024-05-10 08:08:43;Have Rain
enter_tr38_Pcp86;2024-05-10 08:11:27;Have Rain
enter_tr25_Pcp407;2024-05-10 08:17:44;Have Rain
enter_tr8_Pcp221;2024-05-10 08:22:08;Have Rain
enter_tr1_Pcp207;2024-05-10 08:22:49;Have Rain
enter_tr17_Pcp305;2024-05-10 08:23:57;Have Rain
enter_tr32_Pcp64;2024-05-10 08:25:24;Have Rain
enter_tr6_Pcp336;2024-05-10 08:25:37;Have Rain
enter_tr16_Pcp163;2024-05-10 08:57:38;Have Rain
enter_tr14_Pcp197;2024-05-10 09:02:10;No Rain
enter_tr5_Pcp334;2024-05-10 09:11:56;No Rain
enter_tr9_Pcp431;2024-05-10 09:35:31;No Rain
enter_tr28_Pcp155;2024-05-10 09:38:16;No Rain
enter_tr48_Pcp95;2024-05-10 13:37:19;Have Rain
enter_tr34_Pcp311;2024-05-10 13:48:32;Have Rain
enter_tr41_Pcp49;2024-05-10 14:07:10;No Rain
enter_tr2_Pcp397;2024-05-10 14:12:17;No Rain
enter_tr12_Pcp104;2024-05-10 14:12:45;No Rain
enter_tr50_Pcp48;2024-05-10 14:16:01;No Rain
enter_tr13_Pcp490;2024-05-10 15:17:29;No Rain
enter_tr47_Pcp430;2024-05-10 15:23:07;No Rain
enter_tr36_Pcp369;2024-05-10 15:50:15;No Rain
enter_tr22_Pcp330;2024-05-10 15:52:32;No Rain
enter_tr3_Pcp270;2024-05-10 16:03:51;No Rain
enter_tr10_Pcp116;2024-05-12 06:37:51;No Rain
enter_tr35_Pcp342;2024-05-12 08:05:35;No Rain
enter_tr20_Pcp103;2024-05-12 08:18:51;No Rain
enter_tr30_Pcp202;2024-05-12 08:30:11;No Rain
enter_tr21_Pcp310;2024-05-12 08:33:03;No Rain
enter_tr11_Pcp397;2024-05-12 08:37:04;No Rain
enter_tr44_Pcp427;2024-05-12 08:39:36;No Rain
enter_tr49_Pcp469;2024-05-12 08:43:49;No Rain
enter_tr25_Pcp281;2024-05-12 08:52:10;No Rain
enter_tr33_Pcp45;2024-05-12 08:57:36;No Rain
enter_tr7_Pcp470;2024-05-12 09:00:17;Have Rain
enter_tr26_Pcp175;2024-05-12 09:02:52;Have Rain
enter_tr18_Pcp260;2024-05-12 09:08:15;Have Rain
enter_tr38_Pcp296;2024-05-12 09:10:03;Have Rain
enter_tr29_Pcp276;2024-05-12 09:13:45;Have Rain
enter_tr1_Pcp485;2024-05-12 09:18:23;Have Rain
enter_tr17_Pcp423;2024-05-12 09:26:30;Have Rain
enter_tr40_Pcp275;2024-05-12 09:27:09;Have Rain
enter_tr4_Pcp38;2024-05-12 09:30:02;Have Rain
enter_tr24_Pcp41;2024-05-12 09:34:31;Have Rain
enter_tr8_Pcp76;2024-05-12 09:37:23;Have Rain
enter_tr32_Pcp457;2024-05-12 09:39:19;Have Rain
enter_tr46_Pcp177;2024-05-12 09:39:52;Have Rain
enter_tr15_Pcp213;2024-05-12 09:41:36;Have Rain
enter_tr6_Pcp106;2024-05-12 09:44:37;Have Rain
enter_tr23_Pcp56;2024-05-12 09:50:14;Have Rain
enter_tr39_Pcp24;2024-05-12 10:01:49;No Rain
enter_tr43_Pcp204;2024-05-12 10:06:48;No Rain
enter_tr19_Pcp151;2024-05-12 10:12:13;No Rain
enter_tr45_Pcp495;2024-05-12 10:15:22;No Rain
enter_tr14_Pcp49;2024-05-12 10:30:03;No Rain
enter_tr42_Pcp205;2024-05-12 10:41:43;No Rain
enter_tr31_Pcp196;2024-05-12 10:41:55;No Rain
enter_tr28_Pcp447;2024-05-12 10:48:29;No Rain
enter_tr37_Pcp447;2024-05-12 10:59:34;No Rain
enter_tr27_Pcp236;2024-05-12 11:07:31;No Rain
